🇨🇳 央视,#genre#
CCTV1,http://www.wzxiejian.top:9999/udp/233.50.201.118:5140
CCTV2,http://www.wzxiejian.top:9999/udp/233.50.201.119:5140
CCTV3,http://www.wzxiejian.top:9999/udp/233.50.201.196:5140
CCTV4,http://www.wzxiejian.top:9999/udp/233.50.200.101:5140
CCTV5,http://www.wzxiejian.top:9999/udp/233.50.201.197:5140
CCTV5+,http://www.wzxiejian.top:9999/udp/233.50.201.220:5140
CCTV6,http://www.wzxiejian.top:9999/udp/233.50.201.198:5140
CCTV7,http://www.wzxiejian.top:9999/udp/233.50.201.120:5140
CCTV8,http://www.wzxiejian.top:9999/udp/233.50.201.199:5140
CCTV9,http://www.wzxiejian.top:9999/udp/233.50.201.121:5140
CCTV10,http://www.wzxiejian.top:9999/udp/233.50.201.122:5140
CCTV11,http://www.wzxiejian.top:9999/udp/233.50.200.132:5140
CCTV12,http://www.wzxiejian.top:9999/udp/233.50.201.123:5140
CCTV13,http://www.wzxiejian.top:9999/udp/233.50.201.246:5140
CCTV14,http://www.wzxiejian.top:9999/udp/233.50.201.124:5140
CCTV15,http://www.wzxiejian.top:9999/udp/233.50.200.133:5140
CCTV16,http://www.wzxiejian.top:9999/udp/233.50.201.192:5140
CCTV17,http://www.wzxiejian.top:9999/udp/233.50.200.113:5140

CCTV1,http://home8.youyisizhekou.com:8888/udp/233.50.201.118:5140
CCTV2,http://home8.youyisizhekou.com:8888/udp/233.50.201.119:5140
CCTV3,http://home8.youyisizhekou.com:8888/udp/233.50.201.196:5140
CCTV4,http://home8.youyisizhekou.com:8888/udp/233.50.200.101:5140
CCTV5,http://home8.youyisizhekou.com:8888/udp/233.50.201.197:5140
CCTV5+,http://home8.youyisizhekou.com:8888/udp/233.50.201.220:5140
CCTV6,http://home8.youyisizhekou.com:8888/udp/233.50.201.198:5140
CCTV7,http://home8.youyisizhekou.com:8888/udp/233.50.201.120:5140
CCTV8,http://home8.youyisizhekou.com:8888/udp/233.50.201.199:5140
CCTV9,http://home8.youyisizhekou.com:8888/udp/233.50.201.121:5140
CCTV10,http://home8.youyisizhekou.com:8888/udp/233.50.201.122:5140
CCTV11,http://home8.youyisizhekou.com:8888/udp/233.50.200.132:5140
CCTV12,http://home8.youyisizhekou.com:8888/udp/233.50.201.123:5140
CCTV13,http://home8.youyisizhekou.com:8888/udp/233.50.201.246:5140
CCTV14,http://home8.youyisizhekou.com:8888/udp/233.50.201.124:5140
CCTV15,http://home8.youyisizhekou.com:8888/udp/233.50.200.133:5140
CCTV16,http://home8.youyisizhekou.com:8888/udp/233.50.201.192:5140
CCTV17,http://home8.youyisizhekou.com:8888/udp/233.50.200.113:5140

CCTV1,http://www.hhkb.site:5002/udp/225.1.1.120:5002
CCTV2,http://www.hhkb.site:5002/udp/225.1.1.133:5002
CCTV3,http://www.hhkb.site:5002/udp/225.1.1.158:5002
CCTV4,http://www.hhkb.site:5002/udp/225.1.1.150:5002
CCTV5,http://www.hhkb.site:5002/udp/225.1.1.160:5002
CCTV5+,http://www.hhkb.site:5002/udp/225.1.1.121:5002
CCTV6,http://www.hhkb.site:5002/udp/225.1.1.195:5002
CCTV7,http://www.hhkb.site:5002/udp/225.1.1.138:5002
CCTV8,http://www.hhkb.site:5002/udp/225.1.1.196:5002
CCTV9,http://www.hhkb.site:5002/udp/225.1.1.119:5002
CCTV10,http://www.hhkb.site:5002/udp/225.1.1.140:5002
CCTV11,http://www.hhkb.site:5002/udp/225.1.2.192:5002
CCTV12,http://www.hhkb.site:5002/udp/225.1.1.142:5002
CCTV13,http://www.hhkb.site:5002/udp/225.1.2.193:5002
CCTV14,http://www.hhkb.site:5002/udp/225.1.1.144:5002
CCTV15,http://www.hhkb.site:5002/udp/225.1.2.194:5002
CCTV16,http://www.hhkb.site:5002/udp/225.1.2.237:5002
CCTV17,http://www.hhkb.site:5002/udp/225.1.2.52:5002

CCTV1,http://p.noz.cn:8133/udp/239.3.1.129:8008
CCTV2,http://p.noz.cn:8133/udp/239.3.1.60:8084
CCTV3,http://p.noz.cn:8133/udp/239.3.1.172:8001
CCTV4,http://p.noz.cn:8133/udp/239.3.1.105:8092
CCTV5,http://p.noz.cn:8133/udp/239.3.1.173:8001
CCTV5+,http://p.noz.cn:8133/udp/239.3.1.130:8004
CCTV6,http://p.noz.cn:8133/udp/239.3.1.174:8001
CCTV7,http://p.noz.cn:8133/udp/239.3.1.61:8104
CCTV8,http://p.noz.cn:8133/udp/239.3.1.175:8001
CCTV9,http://p.noz.cn:8133/udp/239.3.1.62:8112
CCTV10,http://p.noz.cn:8133/udp/239.3.1.63:8116
CCTV11,http://p.noz.cn:8133/udp/239.3.1.152:8120
CCTV12,http://p.noz.cn:8133/udp/239.3.1.64:8124
CCTV13,http://p.noz.cn:8133/udp/239.3.1.124:8128
CCTV14,http://p.noz.cn:8133/udp/239.3.1.65:8132
CCTV15,http://p.noz.cn:8133/udp/239.3.1.153:8136
CCTV16,http://p.noz.cn:8133/udp/239.3.1.184:8001
CCTV17,http://p.noz.cn:8133/udp/239.3.1.151:8144

CCTV1,http://l2tp.yeedah.xyz:8000/udp/239.77.0.86:5146
CCTV2,http://l2tp.yeedah.xyz:8000/udp/239.77.1.158:5146
CCTV3,http://l2tp.yeedah.xyz:8000/udp/239.77.0.169:5146
CCTV4,http://l2tp.yeedah.xyz:8000/udp/239.77.1.163:5146
CCTV5,http://l2tp.yeedah.xyz:8000/udp/239.77.0.170:5146
CCTV5+,http://l2tp.yeedah.xyz:8000/udp/239.77.0.87:5146
CCTV6,http://l2tp.yeedah.xyz:8000/udp/239.77.0.171:5146
CCTV7,http://l2tp.yeedah.xyz:8000/udp/239.77.1.159:5146
CCTV8,http://l2tp.yeedah.xyz:8000/udp/239.77.0.172:5146
CCTV9,http://l2tp.yeedah.xyz:8000/udp/239.77.1.160:5146
CCTV10,http://l2tp.yeedah.xyz:8000/udp/239.77.1.113:5146
CCTV11,http://l2tp.yeedah.xyz:8000/udp/239.77.1.238:5146
CCTV12,http://l2tp.yeedah.xyz:8000/udp/239.77.1.109:5146
CCTV13,http://l2tp.yeedah.xyz:8000/udp/239.77.0.188:5146
CCTV14,http://l2tp.yeedah.xyz:8000/udp/239.77.1.161:5146
CCTV15,http://l2tp.yeedah.xyz:8000/udp/239.77.1.239:5146
CCTV16,http://l2tp.yeedah.xyz:8000/udp/239.77.0.165:5146
CCTV17,http://l2tp.yeedah.xyz:8000/udp/239.77.1.121:5146
CCTV1,http://171.108.239.79:8181/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://59.32.97.78:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1
CCTV1,http://119.125.128.225:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://59.32.97.78:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1
CCTV1,http://59.32.97.165:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&down=1
